LogID,LogDttm,ServerNm,DatabaseNm,SchemaNm,ObjectNm,ObjectID,IndexNm,IndexID,IndexLvl,IndexPageCnt,FragmentationBeforePct,FragmentationAfterPct,FillFactorBeforePct,FillFactorAfterPct,SuccessInd,RebuildCommandTxt,ExecutionDurationNbr,CreateUserID,RevisedUserID,Online,MessageDesc
272,2016-08-28 00:38:49.760,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,PKTSRECORD,1,0,478596,11.213633210474,0,NULL,80,N,"ALTER INDEX [PKTSRECORD] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
273,2016-08-28 00:38:50.050,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECLOC,674101442,PKTSRECLOC,1,0,332540,5.48655800805918,0,NULL,80,N,"ALTER INDEX [PKTSRECLOC] ON [dbo].[TSRECLOC] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
274,2016-08-28 00:38:50.220,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECSECSU,962102468,PKTSRECSECSU,1,0,152499,12.1679486422862,0,NULL,80,N,"ALTER INDEX [PKTSRECSECSU] ON [dbo].[TSRECSECSU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
275,2016-08-28 00:38:50.853,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSACCESSCO,245575913,axObjectUri,2,0,109160,11.771711249542,0,NULL,80,N,"ALTER INDEX [axObjectUri] ON [dbo].[TSACCESSCO] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
276,2016-08-28 00:38:51.143,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSACCESSCO,245575913,axLocUri,3,0,77721,37.431324867153,0,NULL,80,N,"ALTER INDEX [axLocUri] ON [dbo].[TSACCESSCO] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
277,2016-08-28 00:38:51.257,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECLOC,674101442,rlReviewDateTime,4,0,75844,6.95770265281367,0,NULL,80,N,"ALTER INDEX [rlReviewDateTime] ON [dbo].[TSRECLOC] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
278,2016-08-28 00:38:51.360,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECLOC,674101442,rlLocUri,3,0,67759,41.1561563777506,0,NULL,80,N,"ALTER INDEX [rlLocUri] ON [dbo].[TSRECLOC] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
279,2016-08-28 00:38:51.823,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECLOC,674101442,rlSpaceUri,5,0,57966,6.24158989752614,0,NULL,80,N,"ALTER INDEX [rlSpaceUri] ON [dbo].[TSRECLOC] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
280,2016-08-28 00:38:51.870,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,recordId,2,0,33937,28.5263871290921,0,NULL,80,N,"ALTER INDEX [recordId] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
281,2016-08-28 00:38:52.087,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,fullRecordId,10,0,33419,24.7224632693977,0,NULL,80,N,"ALTER INDEX [fullRecordId] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
282,2016-08-28 00:38:52.347,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSONLINEAU,354100302,oaDoneAt,3,0,30551,5.98671074596576,0,NULL,80,N,"ALTER INDEX [oaDoneAt] ON [dbo].[TSONLINEAU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",2,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
283,2016-08-28 00:38:54.180,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSONLINEAU,354100302,oaObjectUri,2,0,27645,8.30891662145053,0,NULL,80,N,"ALTER INDEX [oaObjectUri] ON [dbo].[TSONLINEAU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
284,2016-08-28 00:38:54.757,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,externalId,9,0,22948,52.6494683632561,0,NULL,80,N,"ALTER INDEX [externalId] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",4,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
285,2016-08-28 00:38:58.423,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECELEC,546100986,reStoreUri,3,0,22929,6.72510794190763,0,NULL,80,N,"ALTER INDEX [reStoreUri] ON [dbo].[TSRECELEC] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
286,2016-08-28 00:38:59.850,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,creationDateTime,4,0,20595,16.5088613741199,0,NULL,80,N,"ALTER INDEX [creationDateTime] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
287,2016-08-28 00:39:00.837,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSONLINEAU,354100302,oaObjectType,4,0,20206,11.1105612194398,0,NULL,80,N,"ALTER INDEX [oaObjectType] ON [dbo].[TSONLINEAU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
288,2016-08-28 00:39:01.853,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,regDateTime,3,0,19873,13.6315604085946,0,NULL,80,N,"ALTER INDEX [regDateTime] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
289,2016-08-28 00:39:02.427,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECSECSU,962102468,rssDowngradeDate,2,0,19601,12.9126064996684,0,NULL,80,N,"ALTER INDEX [rssDowngradeDate] ON [dbo].[TSRECSECSU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
290,2016-08-28 00:39:03.990,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECSECSU,962102468,rssDeclassifyDate,3,0,19601,12.907504719147,0,NULL,80,N,"ALTER INDEX [rssDeclassifyDate] ON [dbo].[TSRECSECSU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
291,2016-08-28 00:39:04.673,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcReviewDate,16,0,19550,12.383631713555,0,NULL,80,N,"ALTER INDEX [rcReviewDate] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
292,2016-08-28 00:39:05.130,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcFinalizedDate,17,0,19549,12.4098419356489,0,NULL,80,N,"ALTER INDEX [rcFinalizedDate] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
293,2016-08-28 00:39:05.720,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcDatePublished,18,0,19549,12.4303033403243,0,NULL,80,N,"ALTER INDEX [rcDatePublished] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
294,2016-08-28 00:39:06.283,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcDueDateTime,8,0,19549,12.4303033403243,0,NULL,80,N,"ALTER INDEX [rcDueDateTime] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
295,2016-08-28 00:39:06.733,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,closeDateTime,5,0,19549,12.4251879891555,0,NULL,80,N,"ALTER INDEX [closeDateTime] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
296,2016-08-28 00:39:07.163,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcDateImported,22,0,19549,12.4303033403243,0,NULL,80,N,"ALTER INDEX [rcDateImported] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
297,2016-08-28 00:39:07.680,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcContainerUri,14,0,17384,46.0250805338242,0,NULL,80,N,"ALTER INDEX [rcContainerUri] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
298,2016-08-28 00:39:08.003,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcFilePlanUri,7,0,15388,16.7143228489732,0,NULL,80,N,"ALTER INDEX [rcFilePlanUri] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
299,2016-08-28 00:39:08.307,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcRecTypeSecFilter,19,0,15217,15.1803903528948,0,NULL,80,N,"ALTER INDEX [rcRecTypeSecFilter] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
300,2016-08-28 00:39:08.600,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcRecTypeUri,13,0,15217,15.1803903528948,0,NULL,80,N,"ALTER INDEX [rcRecTypeUri] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
301,2016-08-28 00:39:08.920,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcFolderOrigin,23,0,14874,12.4714266505311,0,NULL,80,N,"ALTER INDEX [rcFolderOrigin] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
302,2016-08-28 00:39:09.277,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcAutoPartUri,20,0,14871,12.5344630488871,0,NULL,80,N,"ALTER INDEX [rcAutoPartUri] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
303,2016-08-28 00:39:09.580,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcOrigin,21,0,14871,12.5344630488871,0,NULL,80,N,"ALTER INDEX [rcOrigin] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
304,2016-08-28 00:39:09.947,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECSECSU,962102468,rssUpdatedBy,4,0,14864,12.506727664155,0,NULL,80,N,"ALTER INDEX [rssUpdatedBy] ON [dbo].[TSRECSECSU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
305,2016-08-28 00:39:10.387,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECSECSU,962102468,rssReviewedBy,5,0,14864,12.506727664155,0,NULL,80,N,"ALTER INDEX [rssReviewedBy] ON [dbo].[TSRECSECSU] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",0,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
306,2016-08-28 00:39:10.843,VRTVD23245,5129_FinanRecorManag_HPRM_STG,dbo,TSRECORD,706101556,rcConsignmentUri,29,0,14844,12.1597952034492,0,NULL,80,N,"ALTER INDEX [rcConsignmentUri] ON [dbo].[TSRECORD] REBUILD WITH (FILLFACTOR = 80, SORT_IN_TEMPDB = ON, STATISTICS_NORECOMPUTE = OFF, ONLINE = OFF)",1,DIR\SQL2008Services,DIR\SQL2008Services,N,"Could not allocate a new page for database '5129_FinanRecorManag_HPRM_STG' because of insufficient disk space in filegroup 'PRIMARY'. Create the necessary space by dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup."
